ID,Class,Entry Time (s),Exit Time (s),Duration (s),Path Points
1,car,0.12,3.08,3.0,75
2,car,0.12,3.8,3.72,93
3,car,0.12,1.76,1.68,42
4,car,0.12,6.16,6.08,152
5,bus,0.12,5.48,5.4,135
6,car,0.12,2.68,2.6,65
7,car,0.12,5.12,5.04,126
8,car,0.12,1.32,1.24,31
9,car,0.12,6.32,6.24,156
10,bus,0.12,13.48,13.4,335
13,car,0.32,3.0,2.72,68
14,bus,0.4,2.6,2.24,56
18,truck,0.64,4.52,3.92,98
19,car,0.68,9.64,9.0,225
23,truck,1.64,8.48,6.88,172
28,person,2.12,3.72,1.64,41
29,truck,2.68,5.92,3.28,82
32,person,3.44,6.16,2.76,69
36,person,4.0,6.16,2.2,55
37,car,4.52,9.28,4.8,120
38,truck,4.6,12.2,7.64,191
39,car,5.0,23.2,18.24,456
43,car,6.12,19.0,12.92,323
44,car,6.16,8.72,2.6,65
46,car,7.88,18.16,10.32,258
51,truck,9.0,11.32,2.36,59
58,car,11.64,17.56,5.96,149
60,car,13.64,26.8,13.2,330
63,person,14.32,15.68,1.4,35
64,person,14.68,15.92,1.28,32
67,car,15.24,25.64,10.44,261
71,truck,16.0,44.44,28.48,712
75,truck,16.44,18.88,2.48,62
82,car,17.28,19.92,2.68,67
84,car,17.48,29.12,11.68,292
86,bus,17.88,20.16,2.32,58
90,car,20.72,30.16,9.48,237
97,car,22.48,35.68,13.24,331
98,car,23.76,25.84,2.12,53
99,car,23.92,27.12,3.24,81
100,truck,24.12,38.12,14.04,351
102,car,24.48,26.92,2.48,62
104,car,24.76,40.92,16.2,405
105,car,25.2,26.44,1.28,32
109,car,27.28,40.68,13.44,336
113,truck,28.68,32.92,4.28,107
118,car,29.0,46.4,17.44,436
119,car,29.08,36.72,7.68,192
122,car,30.0,32.36,2.4,60
124,car,30.84,36.8,6.0,150
125,truck,31.16,33.2,2.08,52
127,bus,31.28,35.44,4.2,105
128,car,31.36,45.96,14.64,366
130,car,31.48,45.96,14.52,363
137,car,35.08,50.72,15.68,392
139,car,35.28,46.88,11.64,291
141,truck,35.52,45.08,9.6,240
143,car,35.6,36.84,1.28,32
144,car,35.64,37.08,1.48,37
146,car,35.92,46.16,10.28,257
149,car,36.36,48.48,12.16,304
158,truck,39.12,41.16,2.08,52
163,person,39.68,44.6,4.96,124
166,truck,40.64,42.32,1.72,43
172,truck,41.28,42.6,1.36,34
175,truck,41.56,46.68,5.16,129
181,car,42.96,44.4,1.48,37
183,car,43.24,51.08,7.88,197
184,car,43.6,50.32,6.76,169
188,car,44.12,56.84,12.76,319
191,truck,44.64,47.28,2.68,67
194,car,44.88,56.08,11.24,281
197,truck,45.56,60.04,14.52,363
203,car,49.0,60.04,11.08,277
205,truck,49.44,50.68,1.28,32
206,car,49.68,60.04,10.4,260
213,car,53.68,59.6,5.96,149
218,car,54.24,60.04,5.84,146
219,truck,54.24,56.4,2.2,55
223,car,55.64,57.0,1.4,35
225,car,56.68,60.04,3.4,85
227,truck,57.08,60.04,3.0,75
229,car,57.32,60.04,2.76,69
230,car,57.36,60.04,2.72,68
233,car,57.96,60.04,2.12,53
240,car,58.88,60.04,1.2,30
241,car,59.08,60.04,1.0,25
